ID,Player,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
1,Antonio Rüdiger,12,11,1031,11.5,0,0,0,0,0,5,0,0.2,0.2,0.7,0.9,12,33,1,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08
2,Federico Valverde,12,11,968,10.8,1,2,3,1,0,0,0,0,1.5,1.5,2.7,4.1,47,80,36,0.09,0.19,0.28,0.09,0.28,0.14,0.25,0.38,0.14,0.38
3,Jude Bellingham,11,11,944,10.5,10,2,12,10,0,0,1,0,4.8,4.8,1.6,6.3,35,68,70,0.95,0.19,1.14,0.95,1.14,0.46,0.15,0.61,0.46,0.61
4,Kepa Arrizabalaga,10,10,900,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,Dani Carvajal,10,10,873,9.7,1,2,3,1,0,0,1,0,0.5,0.5,1.9,2.4,14,34,83,0.10,0.21,0.31,0.10,0.31,0.05,0.20,0.25,0.05,0.25
6,David Alaba,10,10,850,9.4,0,1,1,0,0,0,2,0,0.8,0.8,0.7,1.5,8,40,12,0.00,0.11,0.11,0.00,0.11,0.09,0.07,0.16,0.09,0.16
7,Aurélien Tchouaméni,11,10,841,9.3,1,0,1,1,0,0,2,0,0.7,0.7,0.3,0.9,13,65,11,0.11,0.00,0.11,0.11,0.11,0.07,0.03,0.10,0.07,0.10
8,Rodrygo,12,9,799,8.9,1,1,2,1,0,1,0,0,4.4,3.6,0.8,4.4,47,26,103,0.11,0.11,0.23,0.11,0.23,0.49,0.09,0.58,0.40,0.49
9,Eduardo Camavinga,12,8,659,7.3,0,0,0,0,0,0,2,0,0.3,0.3,0.4,0.7,22,45,15,0.00,0.00,0.00,0.00,0.00,0.04,0.06,0.09,0.04,0.09
10,Vinicius Júnior,9,8,623,6.9,2,1,3,2,0,0,2,0,2.2,2.2,1.1,3.3,39,17,81,0.29,0.14,0.43,0.29,0.43,0.32,0.16,0.48,0.32,0.48
11,Fran Garcia,9,7,521,5.8,0,2,2,0,0,0,1,0,0.2,0.2,1.1,1.4,19,21,51,0.00,0.35,0.35,0.00,0.35,0.04,0.19,0.23,0.04,0.23
12,Joselu,12,6,652,7.2,5,2,7,5,0,1,0,0,5.7,4.9,1.3,6.2,7,11,53,0.69,0.28,0.97,0.69,0.97,0.79,0.18,0.96,0.68,0.86
13,Toni Kroos,12,6,623,6.9,1,3,4,1,0,0,2,0,0.7,0.7,2.1,2.7,7,74,10,0.14,0.43,0.58,0.14,0.58,0.10,0.30,0.40,0.10,0.40
14,Luka Modrić,10,4,408,4.5,0,1,1,0,0,0,1,0,0.3,0.3,1.4,1.8,9,54,23,0.00,0.22,0.22,0.00,0.22,0.08,0.32,0.40,0.08,0.40
